MCC,DESCRIPTION,ABBREVIATIONS
0742,Veterinary Services,
763,Agricultural Cooperatives,
780,Horticultural and Landscaping Services,
1520,General Contractors–Residential and Commercial,
1711,"Air Conditioning, Heating and Plumbing Contractors",
1731,Electrical Contractors,
1740,"Insulation, Masonry, Plastering, Stonework and Tile Setting Contractors",
1750,Carpentry Contractors,
1761,"Roofing and Siding, Sheet Metal Work Contractors",
1771,Concrete Work Contractors,
1799,"Contractors, Special Trade Contractors–not elsewhere classified",
2741,Miscellaneous Publishing and Printing,
2791,"Typesetting, Plate Making and Related Services",
2842,"Sanitation, Polishing and Specialty Cleaning Preperations",
4011,Railroads–Freight,
4111,"Transportation–Suburban and Local Commuter Passenger, including Ferries",
4112,Passenger Railways,
4119,Ambulance Services,
4121,Taxicabs and Limousines,
4131,Bus Lines,
4214," Motor Freight Carriers,Trucking–Local/Long Distance, Moving and Storage Companies, Local Delivery",
4215,"Courier Services–Air and Ground, Freight Forwarders",
4225,"Public Warehousing–Farm Products, Refrigerated Goods, Household Goods Storage",
4411,Cruise Lines,
4457,Boat Leases and Boat Rentals,
4468,"Marinas, Marine Service/Supplies",
4511,"Air Carriers, Airlines–not elsewhere classified",
4582,"Airports, Airport Terminals, Flying Fields",
4722,Travel Agencies and Tour Operators,
4723,Package Tour Operators (Germany Only),
4784,"Bridge and Road Fees, Tolls",
4789,Transportation Services Not Elsewhere Classified,
4812,Telecommunication Equipment Including Telephone Sales,
4813,Key-Entry Telecom Merchant providing single local and long-distance phone calls using a central access number in a non-face-to-face environment using key entry,
4814,Telecommunication Services including but not limited to prepaid phone services and recurring phone services,
4816,Computer Network/Information Services,
4821,Telegraph Services,
4829,"Wire Transfer Money Orders (V, D, G, X)
Money Transfer ",
4899,"Cable, Satellite, and Other Pay Television and Radio Services",
4900,"Utilities–Electric, Gas, Heating Oil, Sanitary, Water",
5013,Motor Vehicle Supplies and New Parts,
5021,Office and Commercial Furniture,
5039,Construction Materials Not Elsewhere Classified,
5044,"Office, Photographic, Photocopy and Microfilm Equipment",
5045,"Computers, Computer Peripheral Equipment, Software",
5046,Commercial Equipment Not Elsewhere Classified,
5047,Dental/Laboratory/Medical/Ophthalmic Hospital Equipment Supplies,
5051,Metal Service Centers and Offices,
5065,Electrical Parts and Equipment,
5072,Hardware Equipment and Supplies,
5074,Plumbing and Heating Equipment,
5085,Industrial Supplies Not Elsewhere Classified,
5094,"Precious Stones and Metals, Watches and Jewelry",
5099,Durable Goods Not Elsewhere Classified,
5111,"Stationery, Office Supplies, Printing and Writing Paper",
5122,"Drugs, Drug Proprietors and Druggists Sundries",
5131,"Piece Goods, Notions, and Other Dry Goods",
5137,"Men’s, Women’s and Children’s Uniforms and Commercial Clothing",
5139,Commercial Footware ,
5169,Chemicals and Allied Products Not Elsewhere Classified,
5172,Petroleum and Petroleum Products,
5192,"Books, Periodicals and Newspapers",
5193,"Florists Supplies, Nursery Stock and Flowers",
5198,"Paints, Varnishes and Supplies",
5199,Non-Durable Goods Not Elsewhere Classified,
5200,Home Supply Warehouse Stores,
5211,"Building Materials, Lumber Stores",
5231,"Glass, Paint, Wallpaper Stores",
5251,Hardware Stores,
5261,Lawn and Garden Supply Stores,
5271,Mobile Home Dealers,
5299,Warehouse Club Gas,
5309,Duty Free Stores,
5310,Discount Stores,
5311,Department Stores,
5331,Variety Stores,
5399,Miscellaneous General Merchandise Stores,
5411,"Grocery Stores, Supermarkets",
5422,Freezer and Locker Meat Provisioners,
5441,"Candy, Nut and Confectionery Stores",
5451,Dairy Products Stores,
5462,Bakeries,
5499,"Miscellaneous Food Stores–Convenience Stores, Markets, Specialty Stores, and Vending Machines",
5511,"Automobile and Truck Dealers–Sales, Service, Repairs, Parts and Leasing",
5521,Automobile and Truck Dealers–(Used Only)–Sales,
5532,Automotive Tire Stores,
5533,Automotive Parts and Accessories Stores,
5541,Service Stations (With or Without Ancillary Services,
5542,"Fuel Dispenser, Automated",
5551,Boat Dealers,
5561,"Camper Dealers, Recreational and Utility Trailers",
5571,Motorcycle Shops and Dealers,
5592,Motor Home Dealers,
5598,Snowmobile Dealers,
5599,"Miscellaneous Automotive, Aircraft, and FarmEquipment Dealers–Not Elsewhere Classified",
5611,Men’s and Boys’ Clothing and Accessories Stores,
5621,Women’s Ready to Wear Stores,
5631,Women’s Accessory and Specialty Stores,
5641,Children’s and Infants’ Wear Stores,
5651,Family Clothing Stores,
5655,"Sports Apparel, and Riding Apparel Stores",
5661,Shoe Stores,
5681,Furriers and Fur Shops,
5691,Men’s and Women’s Clothing Stores,
5697,"Alterations, Mending, Seamstresses, Tailors",
5698,Wig and Toupee Shops,
5699,Accessory and Apparel Stores–Miscellaneous ,
5712,"Equipment, Furniture and Home Furnishings Stores (except Appliances)",
5713,Floor Covering Stores,
5714,"Drapery, Upholstery and Window Coverings Stores",
5718,"Fireplace, Fireplace Screens and Accessories Stores",
5719,Miscellaneous House Furnishing Specialty Shops,
5722,Household Appliance Stores,
5732,Electronics Sales,
5733,"Music Stores–Musical Instruments, Pianos and Sheet Music",
5734,Computer Software Stores,
5735,Record Shops,
5811,Caterers,
5812,Eating Places and Restaurants,
5813,"Bars, Cocktail Lounges, Discotheques, Nightclubs and Teverns - Drinking Places (Alcoholic Beverage)",
5814,Fast Food Restaurants,
5815,"Digital Goods: Books, Movies, Music",
5816,Digital Goods: Games,
5817,Digital Goods: Applications (Excludes Games),
5818,Digital Goods: Multi-Category,
5912,Drug Stores and Pharmacies,
5921,"Package Stores–Beer, Wine and Liquor",
5931,"Second Hand Stores, Used Merchandise Stores",
5932,"Antique Shops–Sales, Repairs and Restoration Services",
5933,Pawn Shops,
5935,Wrecking and Salvage Yards,
5937,Antique Reproduction Stores,
5940,Bicycle Shops–Sales and Service,
5941,Sporting Goods Stores,
5942,Book Stores,
5943,"Office, School Supply and Stationery Stores",
5944,"Clock, Jewelry, Watch and Silverware Stores",
5945,"Game, Toy and Hobby Shops",
5946,Camera and Photographic Supply Stores,
5947,"Card, Gift, Novelty and Souvenir Shops",
5948,Leather Goods and Luggage Stores,
5949,"Fabric, Needlework, Piece Goods and Sewing Stores",
5950,Crystal and Glassware Stores,
5960,Direct Marketing Insurance Services,
5962,Direct Marketing–Travel Related Arrangement Services,
5963,Door-to-Door Sales,
5964,Direct Marketing–Catalog Merchants,
5965,Direct Marketing–Combination Catalog and Retail Merchant,
5966,Direct Marketing–Outbound Telemarketing Merchants,
5967,Direct Marketing–Inbound Telemarketing Merchants,
5968,Direct Marketing–Continuity/Subscription Merchants,
